A  @
A'S   " e&I z
A(2)   " e&I 
A.   " e&I 
A.'S   " e&I z
A.S   " e&I z
A42128   " e&I . " f O r . " t u . " w V n . " t u . " e&I t
AAA   % t r I . p @ . " l e&I 
AABERG   " A . b @` g
AACHEN   " A . k @ n
AAKER   " A . k @`
AALSETH   " A l . s E T
AAMODT   " A . m @ t
AANCOR   " A n . % k O r
AARDEMA  A r . " d E . m @
AARDVARK   " A r d . % v A r k
AARON   " E . r @ n
AARON'S   " E . r @ n z
AARONS   " E . r @ n z
AARONSON   " E . r @ n . s @ n
AARONSON'S   " E . r @ n . s @ n z
AARONSON'S(2)   " A . r @ n . s @ n z
AARONSON(2)   " A . r @ n . s @ n
AARTI   " A r . % t i 
AASE   " A s
AASEN   " A . s @ n
AB   " { b
AB(2)   " e&I . " b i 
ABABA  @ . " b A . b @
ABABA(2)   " A . b @ . b @
ABACHA   " { . b @ . k @
ABACK  @ . " b { k
ABACO   " { . b @ . % k o&U 
ABACUS   " { . b @ . k @ s
ABAD  @ . " b A d
ABADAKA  @ . " b { . d @ . k @
ABADI  @ . " b { . d i
ABADIE  @ . " b { . d i
ABAIR  @ . " b E r
ABALKIN  @ . " b A l . k I n
ABALONE   % { . b @ . " l o&U . n i
ABALOS  A . " b A . l o&U z
ABANDON  @ . " b { n . d @ n
ABANDONED  @ . " b { n . d @ n d
ABANDONING  @ . " b { n . d @ . n I N
ABANDONMENT  @ . " b { n . d @ n . m @ n t
ABANDONMENTS  @ . " b { n . d @ n . m @ n t s
ABANDONS  @ . " b { n . d @ n z
ABANTO  @ . " b { n . t o&U
ABARCA  @ . " b A r . k @
ABARE  A . " b A . r i
ABASCAL   " { . b @ s . k @ l
ABASH  @ . " b { S
ABASHED  @ . " b { S t
ABATE  @ . " b e&I t
ABATED  @ . " b e&I . t I d
ABATEMENT  @ . " b e&I t . m @ n t
ABATEMENTS  @ . " b e&I t . m @ n t s
ABATES  @ . " b e&I t s
ABATING  @ . " b e&I . t I N
ABBA   " { . b @
ABBADO  @ . " b A . d o&U
ABBAS  @ . " b A s
ABBASI  A . " b A . s i
ABBATE   " A . b e&I t
ABBATIELLO  A . b A . t i . " E . l o&U
ABBE   " { . b i
ABBE(2)  { . " b e&I 
ABBENHAUS   " { . b @ n . % h a&U s
ABBETT  @ . " b E t
ABBEVILLE   " { b . v I l
ABBEY   " { . b i
ABBEY'S   " { . b i z
ABBIE   " { . b i
ABBITT   " { . b I t
ABBOT   " { . b @ t
ABBOTT   " { . b @ t
ABBOTT'S   " { . b @ t s
ABBOUD  @ . " b u d
ABBOUD(2)  @ . " b a&U d
ABBREVIATE  @ . " b r i . v i . % e&I t
ABBREVIATED  @ . " b r i . v i . % e&I . t @ d
ABBREVIATED(2)  @ . " b r i . v i . % e&I . t I d
ABBREVIATES  @ . " b r i . v i . % e&I t s
ABBREVIATING  @ . " b r i . v i . % e&I . t I N
ABBREVIATION  @ . % b r i . v i . " e&I . S @ n
ABBREVIATIONS  @ . % b r i . v i . " e&I . S @ n z
ABBRUZZESE  A . b r u t . " s e&I . z i
ABBS   " { b z
ABBY   " { . b i
ABCO   " { b . k o&U
ABCOTEK   " { b . k o&U . % t E k
ABDALLA   % { b . " d { . l @
ABDALLAH   % { b . " d { . l @
ABDEL   " { b . % d E l
ABDELLA   % { b . " d E . l @
ABDICATE   " { b . d @ . % k e&I t
